THEME;STHEME;NOM;NOMMAJ;IDENT;ADRESSE;INFOCOMP;LIEN;X_LONG;Y_LAT
éducation;Ecoles primaires publiques;Ecole Elémentaire Deyries Sablières;ECOLE ELEMENTAIRE DEYRIES SABLIERES;138;30 rue Deyries, 33800 Bordeaux;;;-0,574125895757045;44,8261693368375
éducation;Ecoles primaires publiques;Ecole Elémentaire Albert Barraud;ECOLE ELEMENTAIRE ALBERT BARRAUD;139;21 rue Albert Barraud, 33000 Bordeaux;;;-0,586610072942437;44,8445838519938
éducation;Ecoles primaires publiques;Ecole Elémentaire Albert Schweitzer;ECOLE ELEMENTAIRE ALBERT SCHWEITZER;140;rue du Docteur Schweitzer, 33300 Bordeaux;;;-0,580784844484795;44,86204654042
éducation;Ecoles primaires publiques;Ecole Elémentaire Raymond Poincaré;ECOLE ELEMENTAIRE RAYMOND POINCARE;141;ave Raymond Poincaré, 33200 Bordeaux;;;-0,619519118989713;44,8445938058908
éducation;Ecoles primaires publiques;Ecole Maternelle Francis de Pressensé;ECOLE MATERNELLE FRANCIS DE PRESSENSE;142;pce Francis de Pressensé, 33000 Bordeaux;;;-0,575595349211268;44,8323094471799
éducation;Ecoles primaires publiques;Ecole Maternelle Paul Berthelot;ECOLE MATERNELLE PAUL BERTHELOT;143;25 rue Paul Berthelot, 33300 Bordeaux;;;-0,572112033194457;44,8564390618662
éducation;Ecoles primaires publiques;Ecole Elémentaire Ferdinand Buisson;ECOLE ELEMENTAIRE FERDINAND BUISSON;144;17 pce Ferdinand Buisson, 33800 Bordeaux;;;-0,550879439893571;44,8237987739627
éducation;Ecoles primaires privées;Ecole maternelle et élémentaire L'Assomption;ECOLE MATERNELLE ET ELEMENTAIRE L'ASSOMPTION;148;370 bd du Président Wilson, 33000 Bordeaux;;;-0,594363253050396;44,8521363067669
éducation;Ecoles primaires publiques;Ecole Elémentaire Alphonse Dupeux;ECOLE ELEMENTAIRE ALPHONSE DUPEUX;149;7 rue Alphonse Dupeux, 33000 Bordeaux;;;-0,588593270850824;44,8310808978086
éducation;Ecoles primaires privées;Ecole maternelle et élémentaire Saint Ferdinand;ECOLE MATERNELLE ET ELEMENTAIRE SAINT FERDINAND;150;rue du Commandant Charcot, 33200 Bordeaux;;;-0,622899911146813;44,8641464484701
