CLE;COMMUNE;DOMANIALITE;NATURE;NOMBRE;OBSERVATIONS;PROPRIETAIRE;QUARTIER;REALISATION;X_LONG;Y_LAT;GEOMETRIE
19607;BORDEAUX;Voirie;Arceau vélo;12;devant entree cimetiere;CUB;3;Réalisé;-0,590343130915271;44,8376639797585;POINT (-0.590343130915271 44.8376639797585)
19613;BORDEAUX;Voirie;Arceau vélo;6;bcmo;CUB;4;Réalisé;-0,567430320364557;44,8387589073463;POINT (-0.567430320364557 44.8387589073463)
19624;BORDEAUX;Voirie;Arceau vélo;6;cote fleuve;CUB;6;Réalisé;-0,560302448481845;44,8326999797065;POINT (-0.560302448481845 44.8326999797065)
19626;BORDEAUX;Voirie;Arceau vélo;14;entree conservatoire;CUB;6;Réalisé;-0,559809980726287;44,8319353873254;POINT (-0.559809980726287 44.8319353873254)
19628;BORDEAUX;Voirie;Arceau vélo;4;face station 10 suppose;CUB;6;Réalisé;-0,558992474283083;44,8310503452366;POINT (-0.558992474283083 44.8310503452366)
19633;BORDEAUX;Voirie;Arceau vélo;6;;CUB;6;Réalisé;-0,568821440463788;44,822286715856;POINT (-0.568821440463788 44.822286715856)
19634;BORDEAUX;Voirie;Arceau vélo;4;;CUB;6;Réalisé;-0,562627339211314;44,8305732945013;POINT (-0.562627339211314 44.8305732945013)
19635;BORDEAUX;Voirie;Arceau vélo;8;;CUB;6;Réalisé;-0,562828580501566;44,8305502380518;POINT (-0.562828580501566 44.8305502380518)
19636;BORDEAUX;Voirie;Arceau vélo;30;en face entree iut;CUB;6;Réalisé;-0,561920797573514;44,8307054936613;POINT (-0.561920797573514 44.8307054936613)
19639;BORDEAUX;Voirie;Arceau vélo;12;;CUB;4;Réalisé;-0,623928977637614;44,8421938064145;POINT (-0.623928977637614 44.8421938064145)
19640;BORDEAUX;Voirie;Arceau vélo;10;;CUB;4;Réalisé;-0,601021609115293;44,8269324501471;POINT (-0.601021609115293 44.8269324501471)
19641;BORDEAUX;Voirie;Arceau vélo;4;;CUB;4;Réalisé;-0,597432212862271;44,832468743681;POINT (-0.597432212862271 44.832468743681)
19642;BORDEAUX;Voirie;Arceau vélo;10;;CUB;4;Réalisé;-0,592181269421536;44,8274242454563;POINT (-0.592181269421536 44.8274242454563)
19643;BORDEAUX;Voirie;Arceau vélo;8;;CUB;4;Réalisé;-0,592597032067136;44,8273867051373;POINT (-0.592597032067136 44.8273867051373)
19644;BORDEAUX;Voirie;Arceau vélo;4;;CUB;4;Réalisé;-0,59877733671823;44,8312820775626;POINT (-0.59877733671823 44.8312820775626)
19645;BORDEAUX;Voirie;Arceau vélo;10;EN FACE COTE JARDIN;VILLE;2;Réalisé;-0,575135787663082;44,849276464047;POINT (-0.575135787663082 44.849276464047)
19646;BORDEAUX;Voirie;Arceau vélo;6;ENTREE JARDIN DUCAU;VILLE;2;Réalisé;-0,577579705947741;44,8503135136737;POINT (-0.577579705947741 44.8503135136737)
19647;BORDEAUX;Voirie;Arceau vélo;6;ENTREE JARDIN PUBLIC;VILLE;2;Réalisé;-0,579885533133086;44,8506065574766;POINT (-0.579885533133086 44.8506065574766)
19656;BORDEAUX;Voirie;Arceau vélo;12;;CUB;8;Réalisé;-0,615854463899339;44,8513482394801;POINT (-0.615854463899339 44.8513482394801)
19657;BORDEAUX;Voirie;Arceau vélo;12;police;CUB;3;Réalisé;-0,588886271938319;44,834666274369;POINT (-0.588886271938319 44.834666274369)
19659;BORDEAUX;Voirie;Arceau vélo;;;VILLE;4;Réalisé;-0,590965036872458;44,8296701753615;POINT (-0.590965036872458 44.8296701753615)
19661;BORDEAUX;Voirie;Arceau vélo;10;cg;CUB;3;Réalisé;-0,585735876191249;44,8354393149055;POINT (-0.585735876191249 44.8354393149055)
19663;BORDEAUX;Voirie;Arceau vélo;4;PRIVE;CUB;2;Réalisé;-0,579911041398329;44,8595022902089;POINT (-0.579911041398329 44.8595022902089)
19664;BORDEAUX;;Arceau vélo;4;dans la cour;VILLE;3;Réalisé;-0,594682485680841;44,8389678318757;POINT (-0.594682485680841 44.8389678318757)
19668;BORDEAUX;Voirie;Arceau vélo;;;VILLE;4;Réalisé;-0,601821770446646;44,8276478677686;POINT (-0.601821770446646 44.8276478677686)
