X_LONG;Y_LAT;Geo Shape;nom;num_station;nb_bornettes;En_service;M_en_S_16_nov_07;street;Mot_Directeur;No;Nrivoli;commune;code_insee;
43,579337;1,47308252568;"{""type"": ""Point"", ""coordinates"": [1.473082525677108, 43,57933699996901]}";BUTTE HERBETTES;238;17;oui;2008;CHE DE LA BUTTE;BUTTE (CHE DE LA BUTTE);50;3105551468;Toulouse;31555
43,6170088747;1,40838826427;"{""type"": ""Point"", ""coordinates"": [1.408388264273494, 43,617008874686874]}";JOB BLAGNAC;240;20;oui;2008;RTE DE BLAGNAC;BLAGNAC (RTE DE BLAGNAC);112;3105551180;Toulouse;31555
43,6410053584;1,4485459656;"{""type"": ""Point"", ""coordinates"": [1.448545965602226, 43,64100535842833]}";BOUQUETINS ROSTAND;248;18;oui;2008;RUE EDMOND ROSTAND;ROSTAND (RUE EDMOND ROSTAND);139;3105552888;Toulouse;31555
43,5939923669;1,41028318212;"{""type"": ""Point"", ""coordinates"": [1.410283182120998, 43,59399236690267]}";LOMBEZ HIPPODROME;194;20;oui;2008;AV DE LOMBEZ;LOMBEZ (AV DE LOMBEZ);93;3105555308;Toulouse;31555
43,5649848918;1,47817624524;"{""type"": ""Point"", ""coordinates"": [1.478176245238297, 43,56498489183261]}";BELIN E.N.A.C.;223;20;oui;2008;AV DU COLONEL ROCHE;ROCHE (AV DU COLONEL ROCHE);4;3105552202;Toulouse;31555
43,638304064;1,46502966619;"{""type"": ""Point"", ""coordinates"": [1.465029666185683, 43,638304064042885]}";MAIRIE CROIX DAURADE;249;18;oui;2008;RTE D ALBI;ALBI (RTE D ALBI);159;3105550124;Toulouse;31555
43,6007058546;1,48358375356;"{""type"": ""Point"", ""coordinates"": [1.483583753564694, 43,60070585455275]}";CHÃTEAU DE L'HERS;257;0;oui;2013;CHE DU CHATEAU DE L HERS;HERS (CHE DU CHATEAU DE L HERS);;;Toulouse;31555
43,5898907222;1,37784158961;"{""type"": ""Point"", ""coordinates"": [1.377841589609154, 43,58989072222916]}";PLACE SAUVEGRAIN;269;18;oui;2013;PL JACQUES SAUVEGRAIN;SAUVEGRAIN (PL JACQUES SAUVEGRAIN);;3105558180;Toulouse;31555
43,6193313144;1,39698816888;"{""type"": ""Point"", ""coordinates"": [1.396988168879668, 43,61933131435428]}";ANCELY;271;0;oui;2013;AV DES ARENES ROMAINES;ROMAINES (AV DES ARENES ROMAINES);110;3105550448;Toulouse;31555
43,6136241552;1,40137704456;"{""type"": ""Point"", ""coordinates"": [1.401377044559924, 43,61362415516584]}";ESPAGNO;279;0;oui;2013;AV DE CASSELARDIT;CASSELARDIT (AV DE CASSELARDIT);;3105551748;Toulouse;31555
43,6048803123;1,44528393194;"{""type"": ""Point"", ""coordinates"": [1.445283931942212, 43,60488031234228]}";LAFAYETTE;2;22;oui;2007;RUE LAFAYETTE;LAFAYETTE (RUE LAFAYETTE);21;3105554920;Toulouse;31555
43,6000778625;1,44931801794;"{""type"": ""Point"", ""coordinates"": [1.449318017941393, 43,60007786245958]}";PLACE SAINT ETIENNE;24;20;oui;2007;PL SAINT ETIENNE;ETIENNE (PL SAINT ETIENNE);14;3105557756;Toulouse;31555
43,6018681239;1,44032777397;"{""type"": ""Point"", ""coordinates"": [1.440327773972025, 43,601868123911125]}";PLACE DE LA DAURADE;11;28;oui;2007;PL DE LA DAURADE;DAURADE (PL DE LA DAURADE);2;3105552520;Toulouse;31555
43,5966673933;1,4362371039;"{""type"": ""Point"", ""coordinates"": [1.436237103900735, 43,59666739328046]}";LAGANNE - TEINTURIERS;74;18;oui;2008;RUE LAGANNE;LAGANNE (RUE LAGANNE);37;3105554948;Toulouse;31555
43,6092360395;1,43201717284;"{""type"": ""Point"", ""coordinates"": [1.432017172838922, 43,60923603951827]}";LASCROSSES -  LECLERC;87;26;oui;2008;BD LASCROSSES;LASCROSSES (BD LASCROSSES);47;3105555080;Toulouse;31555
43,6063052599;1,43840139056;"{""type"": ""Point"", ""coordinates"": [1.43840139055947, 43,60630525990898]}";PLACE ANATOLE FRANCE;30;25;oui;2007;PL ANATOLE FRANCE;FRANCE (PL ANATOLE FRANCE);40;3105550272;Toulouse;31555
43,6076038636;1,44130600071;"{""type"": ""Point"", ""coordinates"": [1.441306000706162, 43,60760386355083]}";MUSEE ST RAYMOND;32;12;oui;2008;RUE DES TROIS RENARDS;RENARDS (RUE DES TROIS RENARDS);8;3105558616;Toulouse;31555
43,6051357726;1,44228102938;"{""type"": ""Point"", ""coordinates"": [1.442281029382847, 43,605135772629914]}";LOIS;6;20;oui;2007;RUE DES LOIS;LOIS (RUE DES LOIS);5;3105555304;Toulouse;31555
43,6270624418;1,43402945572;"{""type"": ""Point"", ""coordinates"": [1.434029455722638, 43,62706244179115]}";BARRIERE DE PARIS;125;20;oui;2008;BRE DE PARIS;PARIS (BRE DE PARIS);0;310555B279;Toulouse;31555
43,5906437919;1,45332605363;"{""type"": ""Point"", ""coordinates"": [1.453326053627276, 43,59064379185858]}";DEMOISELLES - MISTRAL;115;16;oui;2008;ALL DES DEMOISELLES;DEMOISELLES (ALL DES DEMOISELLES);8;3105552584;Toulouse;31555
43,6034948624;1,43608294055;"{""type"": ""Point"", ""coordinates"": [1.436082940553237, 43,603494862387286]}";PLACE SAINT PIERRE;28;22;oui;2007;PL SAINT PIERRE;PIERRE (PL SAINT PIERRE);6;3105557948;Toulouse;31555
43,6003731807;1,44490268988;"{""type"": ""Point"", ""coordinates"": [1.444902689883079, 43,60037318070596]}";PLACE ESQUIROL;10;18;oui;2007;PL ETIENNE ESQUIROL;ESQUIROL (PL ETIENNE ESQUIROL);15;3105553084;Toulouse;31555
43,6080099336;1,4286028686;"{""type"": ""Point"", ""coordinates"": [1.428602868604048, 43,60800993357826]}";HERACLES - BEARNAIS;86;18;oui;2007;RUE DU BEARNAIS;BEARNAIS (RUE DU BEARNAIS);23;3105550948;Toulouse;31555
