Entité Juridique;Décision budgétaire;Exercice;Entité Financière;Nomenclature comptable;Type de mouvements;Section;Chapitre budgétaire;Libellé Chapitre budgétaire;Chapitre par nature;Libellé chapitre par nature;Nature comptable;Libellé Nature comptable;Fonction;Libellé Fonction;Mt Dépenses;Mt Recettes
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;65;Autres charges de gestion courante;65;Autres charges de gestion courante;65741;subv pers dt privé-drh-cosat;312;Arts plastiques et autres activités artistiques;48504;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;65;Autres charges de gestion courante;65;Autres charges de gestion courante;65741;subv pers dt privé-drh-cosat;40;Services communs;223367;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;65;Autres charges de gestion courante;65;Autres charges de gestion courante;65741;subv pers dt privé-drh-cosat;413;Piscines;508;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;65;Autres charges de gestion courante;65;Autres charges de gestion courante;65741;subv pers dt privé-drh-cosat;524;Autres services;8712;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;65;Autres charges de gestion courante;65;Autres charges de gestion courante;65741;subv pers dt privé-drh-cosat;63;Aides à la famille;4458;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;65;Autres charges de gestion courante;65;Autres charges de gestion courante;65741;subv pers dt privé-drh-cosat;814;Eclairage public;26722;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;65;Autres charges de gestion courante;65;Autres charges de gestion courante;65744;subv pers dt privé-drh-mutuelles;01;Opérations non ventilables;1624;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;65;Autres charges de gestion courante;65;Autres charges de gestion courante;65744;subv pers dt privé-drh-mutuelles;023;Information, communication, publicité;2109;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;65;Autres charges de gestion courante;65;Autres charges de gestion courante;65744;subv pers dt privé-drh-mutuelles;048;Autres actions de coopération décentralisée;273;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;65;Autres charges de gestion courante;65;Autres charges de gestion courante;65744;subv pers dt privé-drh-mutuelles;114;Autres services de protection civile;1578;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;65;Autres charges de gestion courante;65;Autres charges de gestion courante;65744;subv pers dt privé-drh-mutuelles;20;Services communs;3505;0
Ville de Toulouse;BP;2012;Budget principal VT;M14;Réel;Fonctionnement;65;Autres charges de gestion courante;65;Autres charges de gestion courante;65744;subv pers dt privé-drh-mutuelles;322;Musées;17146;0
