Code;Libelle;adresse_postale;Y_LAT;X_LONG;Acces_Tan;Jeux;Mobilier_pique_nique;Pataugeoire;Point_d_eau;Sanitaires;Abris;Acces_handicap_y_compris_sanitai;Collection_vegetale;Gardien;Chien_interdit_en_laisse;Jardin_clos;Surface_hors_batiments;Commentaire
36;Parc de proce;Rue des dervallières, boulevard des anglais;47,2243;-1,58156;Lignes 22 et 56 - procé;OUI;NON;NON;OUI;OUI;NON;OUI;Bruyères, rhododendrons, magnolias, andromèdes, lis, fuchsias, dahlias,  vivaces;OUI;NON;OUI;113000;
115;Square amiral halgand;Place de l'hotel de ville;47,2175;-1,55443;Hôtel de ville lignes 11 12 21 22 23 c lu;NON;NON;NON;NON;OUI;NON;NON;;NON;NON;OUI;1298;
116;Jardin des plantes;Place charles leroux;47,2198;-1,54292;Gare sncf lignes 1 et 12;OUI;NON;OUI;OUI;OUI;OUI;OUI;Camellia, epiphytes, cactées;OUI;NON;OUI;73280;
117;Cours cambrone;Rue des cadeniers;47,212;-1,56308;Graslin ligne 11;NON;NON;NON;NON;OUI;NON;NON;;NON;NON;OUI;8762;
118;Square louis bureau;Place de la monnaie;47,2129;-1,56489;Jean v ligne 11;OUI;NON;NON;OUI;OUI;NON;OUI;;NON;NON;OUI;1947;
120;Square ile de versailles;Quai de versailles;47,226;-1,55438;Saint mihiel ligne 2;OUI;NON;NON;OUI;OUI;OUI;OUI;;NON;NON;OUI;15000;
121;Square maquis de saffré;Quai ceineray;47,2221;-1,55188;Bonde 22;NON;NON;NON;NON;NON;NON;OUI;;NON;NON;NON;3000;
123;Square jean-batiste daviais;Place de la petite hollande;47,212;-1,55775;Commerce lignes 11 32 51 52 54 cdb;NON;NON;NON;NON;NON;NON;NON;;NON;NON;OUI;2965;
124;Jardin des cinq sens;Rue celestin frenet ou rue gaetan rondeau;47,2075;-1,53367;Rondeau ligne 58;OUI;NON;NON;OUI;OUI;NON;OUI;;NON;NON;NON;5677;
126;Square charles housset;Rue charles housset;47,2027;-1,60834;Janvraie 25 h 81;NON;NON;NON;NON;NON;NON;NON;;NON;NON;NON;1100;
127;Square faustin hélie;Rue faustin helie;47,2179;-1,56347;Jean jaures ligne 3;OUI;NON;NON;NON;NON;NON;NON;;NON;NON;OUI;9441;
128;Parc de la beaujoire;Route de saint joseph;47,2629;-1,53242;Roseraie     lignes 22 et 72;OUI;NON;NON;OUI;OUI;OUI;OUI;Magnolias, iris, bruyères, vivaces, rosiers;OUI;NON;OUI;133000;
130;Parc du plessis tison;Rond point de paris rue de racapé;47,235;-1,53608;Rond point de paris ligne 70 lu;OUI;OUI;OUI;NON;OUI;NON;OUI;;OUI;OUI;OUI;13940;
131;Square maurice schwob;Rue des garennes;47,2011;-1,58072;Gassendi ligne 81;OUI;NON;NON;OUI;OUI;NON;NON;;NON;OUI;OUI;7203;
134;Square elisa mercoeur;Cours commandant estienne d'orves;47,2142;-1,55037;Bouffay ligne 1 - monteil ligne 24 56 a;NON;NON;NON;NON;NON;NON;NON;;NON;NON;NON;27120;
135;Square marcel launay;Boulevard general degaule;47,2039;-1,53609;Beaulieu ligne 4;OUI;NON;NON;NON;NON;NON;NON;;NON;NON;NON;10300;
136;Square jean le gigant;Rue maurice terrien;47,2042;-1,59294;Cabrol ligne 70;OUI;NON;OUI;OUI;OUI;NON;NON;;NON;NON;OUI;6430;
138;Square toussaint louverture;Rue des usines;47,195;-1,61559;Usine à gaz ligne 81;OUI;NON;NON;NON;NON;NON;OUI;;NON;NON;NON;4737;
140;Parc des capucins;Rue noire;47,2253;-1,56276;Poitou ligne 3;OUI;NON;NON;OUI;OUI;NON;OUI;;NON;NON;OUI;8550;
147;Parc de la noe mitrie;Boulevard ernest dalby;47,2277;-1,52675;Mitrie lignes 11 12 70;OUI;NON;OUI;OUI;OUI;NON;NON;;NON;OUI;OUI;17200;
148;Square jean-baptiste barre;Rue jean-baptiste barre;47,2226;-1,52753;Marcel hatet ligne 12;OUI;NON;NON;NON;NON;NON;NON;;NON;OUI;OUI;1724;
149;Square jules bréchoir;Rue jules brechoir;47,2254;-1,52259;Toutes aides 58 a 75 82 92 - bd de doulon ligne 1;NON;NON;NON;NON;NON;NON;OUI;;NON;OUI;OUI;2720;
150;Parc de malakoff;Boulevard de sarrebruck;47,2182;-1,51796;San francisco ligne 58 a;NON;NON;NON;OUI;NON;NON;OUI;;NON;NON;NON;42260;
152;Square gustave roch;Boulevard gustave roch;47,2052;-1,54996;Wattignies lignes 2 3;OUI;NON;NON;NON;NON;NON;NON;;NON;NON;OUI;3279;
153;Place basse mar;Place basse mar;47,2081;-1,52521;Pompidou 24 52 b;OUI;NON;OUI;NON;NON;NON;OUI;;NON;NON;OUI;1124;
154;Square vertais;Boulevard des martyrs nantais de la resistance;47,2024;-1,54659;Mangin 2 3 - bourgault ducou 42 b;OUI;OUI;NON;OUI;OUI;NON;OUI;;NON;NON;NON;12320;
155;Square du prinquiau;Rue du prinquiau - boulevard de l'egalité;47,2122;-1,58708;Convention lignes 11 70;OUI;OUI;NON;NON;NON;NON;OUI;;NON;OUI;OUI;2650;
157;Square canclaux;Place canclaux;47,2144;-1,57444;Canclaux lignes 21 23 24 h;OUI;NON;NON;NON;NON;NON;OUI;;NON;NON;NON;1634;
158;Square des combattants d'afrique du nord;Rue mathurin brissoneau - place rené bouhier;47,2093;-1,57075;René bouhier ligne 11;OUI;NON;NON;NON;NON;NON;OUI;;NON;OUI;OUI;1811;
159;Square de l'edit de nantes;Place de l'edit de nantes;47,2144;-1,56766;Edit de nantes lignes 21 23 24 56 h;OUI;NON;NON;OUI;NON;NON;NON;;NON;NON;OUI;737;
162;Square marcel moisan;Rue de l'hermitage;47,2022;-1,57732;Lechat ligne 21 h;OUI;NON;NON;NON;NON;NON;NON;;NON;OUI;OUI;691;
163;Square pascal lebee;Place newton;47,2162;-1,56342;Delorme ligne 22 51 54 f;NON;NON;NON;NON;OUI;NON;NON;;NON;NON;NON;539;
165;Square etienne destranges;Place edouard normand;47,2192;-1,56382;Jean jaures ligne 3;NON;NON;NON;NON;NON;NON;NON;;NON;NON;NON;701;
167;Centre social de la pilotière;Boulevard jules verne;47,2452;-1,52404;Platane ligne 23;OUI;NON;NON;NON;NON;NON;NON;;NON;NON;OUI;10830;
168;Square augustin fresnel;Rue augustin fresnel;47,2431;-1,52293;Fresnel ligne 21;OUI;NON;NON;NON;NON;NON;OUI;;NON;NON;NON;5600;
169;Parc de broussais;Place gabriel trarieux;47,2268;-1,52255;Toutes aides lignes 12 70;OUI;NON;NON;NON;NON;NON;OUI;;NON;NON;NON;12130;
