_IDOBJ;NOM_COMPLET;THEME;LIBTHEME;CATEGORIE;LIBCATEGORIE;TYPE;LIBTYPE;STATUT;COMMUNE;ADRESSE;TELEPHONE;WEB;CODE_POSTAL;Y_LAT;X_LONG
3683;Boulodrome Noë Lambert;6;SPORTS;608;Autre équipement;;;Ville de Nantes;NANTES;20 Rue de la Haute Mitrie;;;44300;47,2309716832261;-1,52528828389541
3788;Complexe sportif des Echalonnières;6;SPORTS;606;Stade;;;;VERTOU;Rue du Bignonnet;;;44120;47,1762811485736;-1,46628233029004
3789;Plateau sportif Les Echalonnières;6;SPORTS;608;Autre équipement;;;;VERTOU;Rue du Bignonnet;;;44120;47,1759243946878;-1,46967483894057
3790;Salle omnisports des Echalonnières;6;SPORTS;603;Gymnase;;;;VERTOU;Rond-Point de la Grammoire;;;44120;47,1767514191249;-1,47063261253475
3798;Centre Equestre La Gourmette;6;SPORTS;608;Autre équipement;;;;SAUTRON;RD 81;02 40 63 16 10;;44880;47,2775056951158;-1,71206542059429
3818;Gymnase CEPA;6;SPORTS;603;Gymnase;;;Privé;NANTES;9 Rue Pélisson;;;44000;47,2122960037366;-1,55134942285908
3897;Espace Spotif des Courtils;6;SPORTS;609;Espace Sportif de Proximité;;;Ville de Nantes;NANTES;Rue des Courtils;;;44100;47,2006448286548;-1,59266498071941
3898;Espace Sportif des Martyrs Irlandais;6;SPORTS;609;Espace Sportif de Proximité;;;Ville de Nantes;NANTES;Rue de l'Adour;;;44100;47,2077181434763;-1,61048376514402
3901;Espace Sportif Terrain A. Fournier;6;SPORTS;609;Espace Sportif de Proximité;;;Ville de Nantes;NANTES;87 Rue du Bois Hardy;;;44100;47,2046109159618;-1,60070048031775
3902;Espace Sportif Terrain du Petit Verger;6;SPORTS;609;Espace Sportif de Proximité;;;Ville de Nantes;NANTES;Rue du Jamet;;;44100;47,2073848506105;-1,60361198834223
3904;Espace Sportif ZAC Montplaisir;6;SPORTS;609;Espace Sportif de Proximité;;;Ville de Nantes;NANTES;Allée des Alizés;;;44100;47,1998915071053;-1,60892584696039
3905;Stade Raymond Baumard - Centre Hebertiste;6;SPORTS;608;Autre équipement;;;Privé;NANTES;Rue des Bosquets;;;44100;47,2213069311405;-1,58227742124368
3906;Espace Sportif Meissonier;6;SPORTS;609;Espace Sportif de Proximité;;;Ville de Nantes;NANTES;Rue Ernest Meissonnier;;;44100;47,2247463435712;-1,59247267037624
3907;Salle de Musculation du Jamet - Bellevue;6;SPORTS;608;Autre équipement;;;Ville de Nantes;NANTES;61 Route de Saint Herblain;02 40 95 03 55;;44100;47,2103400239408;-1,60302864200755
3910;Espace Sportif Malakoff;6;SPORTS;609;Espace Sportif de Proximité;;;Ville de Nantes;NANTES;Rue de Corse;;;44000;47,2162064931775;-1,52077937985436
3911;Espace Sportif Noe Mitrie;6;SPORTS;609;Espace Sportif de Proximité;;;Ville de Nantes;NANTES;5 Boulevard Ernest Dalby;;;44000;47,2279541332966;-1,52634402218328
3912;Espace Sportif Moutonnerie;6;SPORTS;609;Espace Sportif de Proximité;;;Ville de Nantes;NANTES;Rue Francisco Ferrer;;;44000;47,2209116115039;-1,53364946392769
3917;Terrain multisports Sébilleau;6;SPORTS;609;Espace Sportif de Proximité;;;Ville de Nantes;NANTES;Rue Docteur Jules Sébilleau;;www.iledenantes.com;44200;47,2052549515569;-1,53163551400006
27;Gymnase Bonne Garde;6;SPORTS;603;Gymnase;;;Privé;NANTES;30 Rue Frère Louis;02 51 11 03 44;;44200;47,1929657069178;-1,53691739665354
28;Gymnase Emile Morice;6;SPORTS;603;Gymnase;;;Ville de Nantes;NANTES;8 Quai Hoche;02 40 89 30 79;;44200;47,2064593469832;-1,55149274758042
29;Gymnase Gravaud;6;SPORTS;603;Gymnase;;;Ville de Nantes;NANTES;14 Rue de la Barbinais;02 40 73 86 86;;44100;47,2038636257076;-1,57752951962898
30;Centre Sportif Mangin Beaulieu;6;SPORTS;601;Centre sportif;;;Ville de Nantes;NANTES;Rue des Boires;02 40 41 57 40;;44200;47,2048690280705;-1,54281139595074
