code_politique_dominante;description_politique_dominante;code_secteur_intervention;description_secteur_intervention;code_sous_secteur;description_sous_secteur_interv;code_programme;description_programme;nature_affect_operation;vsectsubv;vmt_bp
B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P014;Musee des Arts decoratifs;Depense;Fonctionnement;45000
B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P014;Musee des Arts decoratifs;Depense;Investissement;50000
B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P014;Musee des Arts decoratifs;Recette;Fonctionnement;83000
B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P015;Musee des Beaux-Arts;Depense;Fonctionnement;262800
B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P015;Musee des Beaux-Arts;Depense;Investissement;0
B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P015;Musee des Beaux-Arts;Recette;Fonctionnement;100000
B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P015;Musee des Beaux-Arts;Recette;Investissement;0
B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P016;Museum d'histoire naturelle;Depense;Fonctionnement;41600
B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P016;Museum d'histoire naturelle;Depense;Investissement;0
B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P016;Museum d'histoire naturelle;Recette;Fonctionnement;0
B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P016;Museum d'histoire naturelle;Recette;Investissement;0
B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P017;Developpement des musees;Depense;Fonctionnement;43313
B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P017;Developpement des musees;Depense;Investissement;355000
B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P017;Developpement des musees;Recette;Fonctionnement;0
B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P017;Developpement des musees;Recette;Investissement;0
B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P119;Recettes des activites annexes du CAPC;Recette;Fonctionnement;112000
B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P137;Boutiques des musees (TVA);Depense;Fonctionnement;0
B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P137;Boutiques des musees (TVA);Recette;Fonctionnement;30000
B-;DEVELOPPEMENT CULTUREL;B-03;Lecture publique et archives;;;P018;Lecture publique;Depense;Fonctionnement;1109700
B-;DEVELOPPEMENT CULTUREL;B-03;Lecture publique et archives;;;P018;Lecture publique;Depense;Investissement;979500
B-;DEVELOPPEMENT CULTUREL;B-03;Lecture publique et archives;;;P018;Lecture publique;Recette;Fonctionnement;217000
B-;DEVELOPPEMENT CULTUREL;B-03;Lecture publique et archives;;;P018;Lecture publique;Recette;Investissement;173727,22
B-;DEVELOPPEMENT CULTUREL;B-03;Lecture publique et archives;;;P019;Archives municipales;Depense;Fonctionnement;41150
B-;DEVELOPPEMENT CULTUREL;B-03;Lecture publique et archives;;;P019;Archives municipales;Depense;Investissement;5526400
B-;DEVELOPPEMENT CULTUREL;B-03;Lecture publique et archives;;;P019;Archives municipales;Recette;Fonctionnement;9000
B-;DEVELOPPEMENT CULTUREL;B-03;Lecture publique et archives;;;P019;Archives municipales;Recette;Investissement;2172830
B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P020;Opera;Depense;Fonctionnement;16490000
B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P020;Opera;Depense;Investissement;240000
B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P020;Opera;Recette;Investissement;0
B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P021;Actions de developpement artistique;Depense;Fonctionnement;73700
B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P021;Actions de developpement artistique;Depense;Investissement;118000
B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P021;Actions de developpement artistique;Depense;Subventions;4236524
B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P021;Actions de developpement artistique;Recette;Fonctionnement;10000
B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P021;Actions de developpement artistique;Recette;Investissement;0
B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P022;Rayonnement culturel;Depense;Fonctionnement;259600
