entityid;code_politique_dominante;description_politique_dominante;code_secteur_intervention;description_secteur_intervention;code_sous_secteur;description_sous_secteur_interv;code_programme;description_programme;nature_affect_operation;vsectsubv;vmt_bp
6a53556d-cccc-4855-97ea-55fe265c75b6;F-;DEVELOPPEMENT SPORTIF;F-03;Sports educatif et loisirs;F-0301;Partenariats et animation;P057;Politique d'animation;Depense;Subventions;143330
6b3fc198-62d4-42d1-8c3f-f4dae67f5f9b;J-;PERFORMANCE DE LA COLLECTIVITE;J-05;Logistique et exploitation;;;P144;Gestion des equipements DGST;Depense;Investissement;180000
6cb1d581-2b3e-4257-9ca2-33bb0b104436;A-;ATTRACTIVITE ET RAYONNEMENT;A-04;Tourisme;;;P130;Equipements fluviaux (TVA);Recette;Investissement;606195
6e0306f9-38d4-4501-84b6-e75fd716b338;G-;Vie en societe;G-02;Education;;;P066;Actions educatives;Depense;Fonctionnement;1648453
700fda81-ceae-437f-b425-d05753684ace;B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P021;Actions de developpement artistique;Recette;Investissement;0
701ad41c-3b32-4865-862a-cab4e4e55973;J-;PERFORMANCE DE LA COLLECTIVITE;J-03;Securite jur. et Commande pub.;;;P102;Securite Juridique;Depense;Fonctionnement;1700000
707783d6-7831-4a66-9b6d-9dd247ab52ca;G-;Vie en societe;G-02;Education;;;P065;Patrimoine et equipements de l'education;Recette;Investissement;2179506,56
70b9e6eb-5965-4268-ada6-449b17c80fd6;J-;PERFORMANCE DE LA COLLECTIVITE;J-01;Gestion dev. Ress. humaines;;;P095;Prestations aux services et frais generaux;Recette;Fonctionnement;130000
719d4135-ea0e-4f9c-bc8b-d07d7bb0cf2a;B-;DEVELOPPEMENT CULTUREL;B-01;Enseignement artistique;;;P010;Conservatoire de Bordeaux;Recette;Fonctionnement;593900
7203dde6-2103-4e8c-b1fc-3c486b9d5612;C-;DEVELOPPEMENT URBAIN DURABLE;C-06;Paysages et patrimoine urbains;;;P036;Patrimoine naturel;Depense;Investissement;70000
72975f2c-696c-4cdf-8939-f382b756017f;B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P015;Musee des Beaux-Arts;Recette;Fonctionnement;140000
72aa06f9-161f-4b55-aa90-f12cbe6529b3;C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P027;Entrepreneuriat;Depense;Investissement;0
73b6b179-a7f6-4b7d-9d64-c7b8ab35fdb3;G-;Vie en societe;G-06;Cohesion sociale transversale;;;P073;Projet social;Recette;Fonctionnement;168000
73c7291e-7548-4d97-9eb6-76ec3d9b5847;G-;Vie en societe;G-04;Developpement social terr.;;;P127;Accompagnement de projets transversaux;Depense;Subventions;1958619,61
7445af9b-c9b4-406b-9595-e5e918bc2ce4;B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P016;Museum d'histoire naturelle;Recette;Fonctionnement;0
75c0a1b7-c032-4703-ad9c-e5c3d06fc104;B-;DEVELOPPEMENT CULTUREL;B-03;Lecture publique et archives;;;P019;Archives municipales;Recette;Investissement;0
7681b73b-2d80-4391-b5ac-c16ef56f420a;A-;ATTRACTIVITE ET RAYONNEMENT;A-02;Patrimoine culturel;;;P004;Mises en lumière;Depense;Fonctionnement;120000
774c1f10-7bf7-470c-8c50-d0dbdcc572d7;H-;VIE DEMOCRATIQUE;H-01;Vie associative;;;P080;Rehabilitation et construction des equipements associatifs;Recette;Investissement;125000
7909c8e3-7948-4b01-9e7c-6362384c91b6;C-;DEVELOPPEMENT URBAIN DURABLE;C-06;Paysages et patrimoine urbains;;;P037;Paysages urbains;Depense;Fonctionnement;25000
79220a03-d485-409e-bd99-52d8e909b786;J-;PERFORMANCE DE LA COLLECTIVITE;J-05;Logistique et exploitation;;;P111;Editique et telephonie;Depense;Investissement;76000
79557a67-0aa1-4ea5-899c-32ba2a308ecb;A-;ATTRACTIVITE ET RAYONNEMENT;A-02;Patrimoine culturel;;;P003;Restauration des edifices patrimoniaux;Recette;Investissement;0
795e7648-1c1b-409f-94d5-df15923a6ecb;A-;ATTRACTIVITE ET RAYONNEMENT;A-04;Tourisme;;;P008;Tourisme urbain;Depense;Investissement;0
79e525f2-ef32-4263-8ee1-5535dee8e87a;C-;DEVELOPPEMENT URBAIN DURABLE;C-02;Amenagement urbain;;;P029;Amenagement;Recette;Investissement;145000
79f728b9-a9c0-4a0d-91c3-f89b39543b1d;C-;DEVELOPPEMENT URBAIN DURABLE;C-06;Paysages et patrimoine urbains;;;P038;Lycee horticole;Recette;Fonctionnement;721084
79ff4fb6-bd3a-4309-b223-135aef95d1b8;A-;ATTRACTIVITE ET RAYONNEMENT;A-02;Patrimoine culturel;;;P003;Restauration des edifices patrimoniaux;Depense;Investissement;280000
7aaed06e-9ccf-4f36-ab9f-fd7325d1eedf;A-;ATTRACTIVITE ET RAYONNEMENT;A-03;Relations internationales;;;P006;Relations internationales;Depense;Subventions;136260
7cd73126-dcaa-44ee-b860-19f1c6f329a6;F-;DEVELOPPEMENT SPORTIF;F-03;Sports educatif et loisirs;F-0302;Construction et gestion des equipements;P058;Gestion des equipements par les clubs;Depense;Investissement;0
7d5a97b1-993a-4495-920f-8f6fb09051d6;C-;DEVELOPPEMENT URBAIN DURABLE;C-06;Paysages et patrimoine urbains;;;P038;Lycee horticole;Depense;Subventions;0
7eb1514a-3a09-4c09-aa7e-34eb9184aa32;D-;QUALITE DES ESPACES PUBLICS DE PROXIMITE;D-03;Gestion maintien patrim. vert;;;P044;Preservation et gestion du patrimoine vert;Depense;Investissement;1096400
7eeea2dd-5fdc-41a1-a8d9-0b7821f0165f;G-;Vie en societe;G-02;Education;;;P066;Actions educatives;Depense;Investissement;424000
7fc26bde-e24b-47b1-8e21-2a17b709fc5b;F-;DEVELOPPEMENT SPORTIF;F-01;Equipements sportifs struct.;F-0101;Equipements structurants delegues;P132;Stadium;Depense;Investissement;0
80eba329-4326-46c9-8517-6400f91d4ae5;E-;PREVENTION DES RISQUES ET TRANQUILLITE;E-02;Prevention des risques;;;P048;Prevention Sante Environnement Securite;Recette;Fonctionnement;2154330
8138e0be-169f-4264-8511-fa97c322bcd8;C-;DEVELOPPEMENT URBAIN DURABLE;C-04;Vie et depl. dans les esp.urb.;;;P033;Deplacements doux;Recette;Fonctionnement;75000
8354dd63-cc78-4443-8c5a-7d6fe8b77f0a;J-;PERFORMANCE DE LA COLLECTIVITE;J-04;Strategie et gestion immo.;;;P129;Transactions assujetties à la TVA immobilières;Recette;Investissement;2700000
83983288-d986-4d40-92b2-20b093d89fde;G-;Vie en societe;G-01;Petite enfance;;;P063;Structures sous gestion externe;Recette;Fonctionnement;3200
84dceb7b-d216-40bb-96c9-683e25d4c279;F-;DEVELOPPEMENT SPORTIF;F-02;Sports de haut niveau et perf.;;;P055;Soutien aux structures haut niveau;Depense;Subventions;1993500
84f9cce9-2f07-499c-b8e9-dddd154ac2b6;C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P028;Innovation - Enseignement superieur;Recette;Investissement;0
851ee14c-502e-463a-9410-8140e9390c85;A-;ATTRACTIVITE ET RAYONNEMENT;A-02;Patrimoine culturel;;;P002;Restauration des monuments historiques;Recette;Investissement;192307
853c7b48-df90-4d39-800d-17c05617c915;G-;Vie en societe;G-01;Petite enfance;;;P063;Structures sous gestion externe;Depense;Fonctionnement;1310308
8594bbcb-76a4-429f-83d5-7d81b9811bd1;C-;DEVELOPPEMENT URBAIN DURABLE;C-02;Amenagement urbain;;;P030;Droit des sols;Recette;Investissement;0
863bbe34-4de4-4378-b8ea-4c9802a8e019;C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P143;Entrepreneuriat (TVA);Recette;Fonctionnement;131000
8852a35d-3730-4065-9bb8-b49d5a5324de;B-;DEVELOPPEMENT CULTUREL;B-02;Musees;;;P137;Boutiques des musees (TVA);Depense;Fonctionnement;0
88eeafc1-21b5-4c0d-8ba8-b066a71c4056;F-;DEVELOPPEMENT SPORTIF;F-01;Equipements sportifs struct.;F-0102;Equipements structurants en regie;P052;Stade Chaban-Delmas;Depense;Fonctionnement;235000
894f8242-08ab-40df-a0af-773efccd6278;C-;DEVELOPPEMENT URBAIN DURABLE;C-05;Eclairage;;;P035;Eclairage;Depense;Investissement;2605000
899c8229-17e8-43b3-99e5-92fcd62d10ab;F-;DEVELOPPEMENT SPORTIF;F-03;Sports educatif et loisirs;F-0302;Construction et gestion des equipements;P061;Rehabilitation et construction d'equipements sportifs;Depense;Investissement;220000
89b108f9-08ae-43d6-acae-245b226ceb4e;G-;Vie en societe;G-02;Education;;;P068;Vie etudiante;Depense;Fonctionnement;4150
89e9d17c-9364-474d-96f4-9c583615bd2c;J-;PERFORMANCE DE LA COLLECTIVITE;J-03;Securite jur. et Commande pub.;;;P103;Concurrence et commande publique;Depense;Fonctionnement;180000
8b0affac-ce8e-4d74-a26d-9d67a399f7ee;C-;DEVELOPPEMENT URBAIN DURABLE;C-02;Amenagement urbain;;;P029;Amenagement;Depense;Fonctionnement;151000
8b6916a0-59fc-4873-9b95-ad8d489ce387;F-;DEVELOPPEMENT SPORTIF;F-01;Equipements sportifs struct.;F-0102;Equipements structurants en regie;P054;Palais des sports;Depense;Investissement;1860479
8bc91ab8-14d8-4bc1-9911-ea0e7e3439a9;J-;PERFORMANCE DE LA COLLECTIVITE;J-01;Gestion dev. Ress. humaines;;;P095;Prestations aux services et frais generaux;Recette;Investissement;0
8cf9a7c3-0d46-438b-915c-516daf4bd524;B-;DEVELOPPEMENT CULTUREL;B-04;Dev. action artistiq et cult.;;;P023;Securite dans les bâtiments culturels;Depense;Investissement;700000
8eb5d74f-7434-4c8e-b511-347cc833977f;H-;VIE DEMOCRATIQUE;H-03;Accueil et citoyennete;;;P085;Cimetières;Recette;Fonctionnement;290000
906e343f-cac4-40a7-8736-c7a7b50e1013;A-;ATTRACTIVITE ET RAYONNEMENT;A-01;Rayonnement architectural et urbain;;;P001;Rayonnement architectural et urbain;Depense;Investissement;36000
9083e682-cb08-445f-89b0-f36e36d52d18;G-;Vie en societe;G-01;Petite enfance;;;P062;Structures sous gestion municipale;Recette;Fonctionnement;16331600
912c5994-a309-401d-b01d-945e1dbc9ab2;G-;Vie en societe;G-03;Jeunesse;;;P138;Rythmes scolaires;Depense;Subventions;2289038
929f26d1-8519-4fcb-9636-257e7d65e060;F-;DEVELOPPEMENT SPORTIF;F-01;Equipements sportifs struct.;F-0102;Equipements structurants en regie;P053;Piscine Judaïque;Recette;Fonctionnement;556200
92ecb498-13f3-46fa-9535-bf4e23ab1dfe;J-;PERFORMANCE DE LA COLLECTIVITE;J-04;Strategie et gestion immo.;;;P109;Ateliers du bâtiment;Depense;Investissement;215000
932b5151-5bc2-413e-a9ed-d3517cca1743;G-;Vie en societe;G-01;Petite enfance;;;P064;Patrimoine et equipements de la petite enfance;Depense;Investissement;4400000
949948da-a4c7-441d-a3a5-0290623a68f3;I-;PILOTAGE STRATEGIQUE DE LA COLLECTIVITE;I-05;E administration;;;P113;Gouvernance numerique;Recette;Fonctionnement;75100
9511da0e-8c8b-472e-b2a8-83d69eb42a18;J-;PERFORMANCE DE LA COLLECTIVITE;J-02;Gestion financière;;;P101;Gestion budgetaire;Recette;Fonctionnement;315515000
951e4b52-0a61-44b5-87da-3316c77b841d;F-;DEVELOPPEMENT SPORTIF;F-01;Equipements sportifs struct.;F-0102;Equipements structurants en regie;P125;Salle Jean Dauguet;Depense;Fonctionnement;25000
97add785-c38d-466d-b25c-44c255a7eeb0;H-;VIE DEMOCRATIQUE;H-01;Vie associative;;;P080;Rehabilitation et construction des equipements associatifs;Depense;Investissement;1420000
97c7a276-fe6f-4858-9eb9-ce25fa961fef;G-;Vie en societe;G-05;Seniors;G-0502;Vie à domicile;P075;Activites des seniors;Recette;Fonctionnement;125000
9849584b-51c7-4f12-aa49-0a7db7c002d5;J-;PERFORMANCE DE LA COLLECTIVITE;J-04;Strategie et gestion immo.;;;P106;Cessions immobilières;Recette;Investissement;7528000
9867a453-7989-4dce-8905-2d56ef48d931;C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P027;Entrepreneuriat;Depense;Subventions;273800
99cbf70d-8729-49ee-ac51-dc64e270506a;A-;ATTRACTIVITE ET RAYONNEMENT;A-04;Tourisme;;;P008;Tourisme urbain;Recette;Fonctionnement;2322000
99cc4549-6a93-457e-bc47-58c476595cc0;G-;Vie en societe;G-01;Petite enfance;;;P063;Structures sous gestion externe;Recette;Investissement;0
99faacd4-1d83-4d26-a954-380cfc73be78;F-;DEVELOPPEMENT SPORTIF;F-01;Equipements sportifs struct.;F-0102;Equipements structurants en regie;P053;Piscine Judaïque;Depense;Fonctionnement;54000
9abdc6f3-e7a4-4c91-bb2c-9e1334668220;G-;Vie en societe;G-04;Developpement social terr.;;;P122;Prevention de la delinquance;Recette;Fonctionnement;0
9b8cc1b4-0bc3-4678-b326-38a6274b4aa3;F-;DEVELOPPEMENT SPORTIF;F-01;Equipements sportifs struct.;F-0101;Equipements structurants delegues;P051;Nouveau stade (TVA);Depense;Fonctionnement;5721231
9b94a590-d569-4fbc-87b3-62399793aa9e;I-;PILOTAGE STRATEGIQUE DE LA COLLECTIVITE;I-03;Pilotage strategique et eval.;;;P120;Mission performance;Depense;Fonctionnement;0
9c8d06a5-ffee-404b-87b3-30d58c315dd5;C-;DEVELOPPEMENT URBAIN DURABLE;C-02;Amenagement urbain;;;P029;Amenagement;Depense;Subventions;910030
9d4a546a-b0fb-4c21-aac1-bf96a257efb6;G-;Vie en societe;G-03;Jeunesse;;;P069;Accueil educatifs et de loisirs;Recette;Investissement;0
