Code_Politique_Dominante;Description_Politique_Dominante;Code_Secteur_Intervention;Description_Secteur_Intervention;Code_Sous_Secteur;Description_Sous_Secteur_Interv;Code_Programme;Description_Programme;Nature_Affect_Operation;Vsectsubv;Vmt_Bp
C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P028;Innovation - Enseignement superieur;Depense;Investissement;50000
C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P028;Innovation - Enseignement superieur;Depense;Subventions;187000
C-;DEVELOPPEMENT URBAIN DURABLE;C-01;Dev. eco, emploi et ens. sup.;;;P028;Innovation - Enseignement superieur;Recette;Investissement;0
C-;DEVELOPPEMENT URBAIN DURABLE;C-02;Amenagement urbain;;;P029;Amenagement;Depense;Fonctionnement;104000
C-;DEVELOPPEMENT URBAIN DURABLE;C-02;Amenagement urbain;;;P029;Amenagement;Depense;Investissement;2621200
C-;DEVELOPPEMENT URBAIN DURABLE;C-02;Amenagement urbain;;;P029;Amenagement;Depense;Subventions;1012644
C-;DEVELOPPEMENT URBAIN DURABLE;C-02;Amenagement urbain;;;P029;Amenagement;Recette;Fonctionnement;0
C-;DEVELOPPEMENT URBAIN DURABLE;C-02;Amenagement urbain;;;P029;Amenagement;Recette;Investissement;339936
C-;DEVELOPPEMENT URBAIN DURABLE;C-02;Amenagement urbain;;;P030;Droit des sols;Depense;Fonctionnement;238000
C-;DEVELOPPEMENT URBAIN DURABLE;C-02;Amenagement urbain;;;P030;Droit des sols;Depense;Investissement;30000
C-;DEVELOPPEMENT URBAIN DURABLE;C-02;Amenagement urbain;;;P030;Droit des sols;Recette;Fonctionnement;0
C-;DEVELOPPEMENT URBAIN DURABLE;C-03;Habitat;;;P031;Logement;Depense;Fonctionnement;7200
C-;DEVELOPPEMENT URBAIN DURABLE;C-03;Habitat;;;P031;Logement;Depense;Investissement;2900000
C-;DEVELOPPEMENT URBAIN DURABLE;C-03;Habitat;;;P031;Logement;Recette;Investissement;0
C-;DEVELOPPEMENT URBAIN DURABLE;C-03;Habitat;;;P032;Renovation urbaine;Depense;Fonctionnement;220000
C-;DEVELOPPEMENT URBAIN DURABLE;C-03;Habitat;;;P032;Renovation urbaine;Depense;Investissement;2370480
C-;DEVELOPPEMENT URBAIN DURABLE;C-03;Habitat;;;P032;Renovation urbaine;Recette;Investissement;0
C-;DEVELOPPEMENT URBAIN DURABLE;C-04;Vie et depl. dans les esp.urb.;;;P033;Deplacements doux;Depense;Fonctionnement;110000
C-;DEVELOPPEMENT URBAIN DURABLE;C-04;Vie et depl. dans les esp.urb.;;;P033;Deplacements doux;Depense;Investissement;290000
C-;DEVELOPPEMENT URBAIN DURABLE;C-04;Vie et depl. dans les esp.urb.;;;P033;Deplacements doux;Recette;Fonctionnement;100000
C-;DEVELOPPEMENT URBAIN DURABLE;C-04;Vie et depl. dans les esp.urb.;;;P034;Amenagement des espaces de circulation;Depense;Fonctionnement;799000
